,Unproductive Exploitation Rate — ; ratio; period=; series_status=book_period_validated
Year,AS003-A
1948,1.3654867256637169
1949,1.388157894736842
1950,1.4484821428571424
1951,1.5721495327102808
1952,1.5443925233644862
1953,1.5116666666666667
1954,1.5508108108108107
1955,1.61
1956,1.5794495412844034
1957,1.615779816513761
1958,1.7338532110091736
1959,1.7156880733944957
1960,1.6909999999999998
1961,1.7520183486238523
1962,1.7792660550458712
1963,1.840467289719626
1964,1.913962264150943
1965,1.8682242990654203
1966,1.7719999999999998
1967,1.8155963302752287
1968,1.7974311926605502
1969,1.7338532110091736
1970,1.7520183486238523
1971,1.7974311926605502
1972,1.84625
1973,1.8258252427184467
1974,1.8915841584158417
1975,2.018529411764706
1976,2.0484158415841582
1977,2.038613861386138
1978,2.009207920792079
1979,1.940882352941176
1980,2.009207920792079
1981,2.097425742574257
1982,2.1268316831683167
1983,2.1562376237623764
1984,2.26
1985,2.2967
1986,2.4
1987,2.3858
1988,2.4
1989,2.371881188118812
