,"NSW/EC (ST 2002) — Shaikh & Tonak 2002; share; period=[1952, 1997]; series_status=validated_book_and_extension"
Year,ES1202-A
1952,-0.047339473265436
1953,-0.0429701038351645
1954,-0.0319586810436212
1955,-0.0426632143678086
1956,-0.0543351719987965
1957,-0.0498385229419291
1958,-0.0266917293233082
1959,-0.0474182115880474
1960,-0.0631980563125035
1961,-0.0515591678424853
1962,-0.058667617895136
1963,-0.0643401406360585
1964,-0.0547344903251545
1965,-0.0531406090055868
1966,-0.0592076999614912
1967,-0.0456047240498972
1968,-0.0496858225420206
1969,-0.0639897135465679
1970,-0.0379916803963121
1971,-0.0174249430446845
1972,-0.0306404879856371
1973,-0.0371160710879888
1974,-0.0266665540178998
1975,0.0207481815398583
1976,0.0047009244076627
1977,-0.0078856603692664
1978,-0.0206142326079444
1979,-0.0269297760472126
1980,-0.011381250820621
1981,-0.0234196454721691
1982,-0.0034473632356973
1983,0.0044680492663562
1984,-0.0128403626202235
1985,-0.0179165040019704
1986,-0.0162481417651726
1987,-0.0281461061083857
1988,-0.0319852835171932
1989,-0.0321748846429848
1990,-0.0223639096591907
1991,-0.0032313717716422
1992,0.0095624175695959
1993,0.010119954208352
1994,0.0010552414861793
1995,0.0014392504397239
1996,-0.0070237508212695
1997,-0.0202962611848663
1998,-0.0334154976654155
1999,-0.0384787777626001
2000,-0.0447063746997253
2001,-0.0240370048231734
2002,0.0151440193052615
2003,0.0278410559294989
2004,0.0275522182642487
2005,0.0167293249309697
2006,0.0126015886249618
2007,0.0132161744500046
2008,0.0450179264141983
2009,0.1090119640124608
2010,0.1208699430903469
2011,0.1090583412096144
2012,0.0961335944327327
2013,0.0684659569697428
2014,0.0629195040803406
2015,0.0582001354926516
2016,0.0598365881646074
2017,0.0537128279765917
2018,0.055538775425274
2019,0.0569259058423493
2020,0.1562639968588061
2021,0.1437254934436576
2022,0.056528616284435
2023,0.078672392605737
2024,0.0821676816468212
2025,0.0832657833673703
