,"Turkey NSW/GDP (Karabacak & Tonak 2022) — Karabacak & Tonak 2022 RRPE; share; period=[1980, 2019]; series_status=pending_data_assembly"
Year,ES1602-A
1980,-0.0278999999999999
1981,-0.0542999999999999
1983,-0.0454999999999999
1984,-0.0246
1985,-0.0383
1986,-0.0414
1987,-0.0432
1988,-0.0341999999999999
1989,-0.0191
1990,-0.0059999999999999
1991,-0.0008
1992,-0.0004
1993,-0.0044999999999999
1994,-0.0353999999999999
1995,-0.0133999999999999
1996,-0.0192999999999999
1997,-0.0397
1998,-0.0405
2008,-0.0346
2009,-0.0184
2010,-0.0411999999999999
2011,-0.0451
2012,-0.0366999999999999
2013,-0.0412999999999999
2014,-0.0337999999999999
2015,-0.0464
2016,-0.0372999999999999
2017,-0.0359
2018,-0.0263
2019,-0.0129
