,"Variable Capital (V*) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=book_period_validated"
Year,S504-A
1948,88.41
1949,85.02
1950,93.16
1951,105.91
1952,111.01
1953,117.39
1954,111.95
1955,120.52
1956,128.82
1957,133.0
1958,127.72
1959,139.57
1960,144.23
1961,146.13
1962,155.54
1963,162.76
1964,172.0
1965,188.43
1966,207.07
1967,216.26
1968,236.77
1969,261.22
1970,270.43
1971,287.53
1972,324.3
1973,370.49
1974,398.5
1975,410.75
1976,459.63
1977,515.81
1978,589.2
1979,664.78
1980,706.53
1981,772.35
1982,786.53
1983,839.73
1984,928.68
1985,967.99
1986,998.55
1987,1060.9
1988,1146.22
1989,1206.4
