,"Surplus Value (S* = VA* - V*) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=book_period_validated"
Year,S505-A
1948,149.94
1949,148.64
1950,165.26
1951,188.25
1952,194.51
1953,204.52
1954,208.2
1955,228.55
1956,236.97
1957,250.25
1958,256.15
1959,278.42
1960,286.46
1961,296.54
1962,320.2
1963,337.71
1964,364.54
1965,395.0
1966,430.65
1967,454.4
1968,493.63
1969,523.83
1970,547.67
1971,596.7
1972,645.98
1973,719.75
1974,778.25
1975,867.02
1976,968.82
1977,1083.13
1978,1221.07
1979,1346.24
1980,1462.7
1981,1668.19
1982,1724.68
1983,1865.8
1984,2101.78
1985,2258.68
1986,2401.11
1987,2563.38
1988,2752.81
1989,2943.35
