,"Marxian Profit Rate (r* = S*/(C*+V*)) — S&T 1994; rate; period=[1948, 1989]; series_status=validated_book_and_extension"
Year,S513-A
1948,0.3946132164108988
1949,0.3894249536929086
1950,0.3851963042039213
1951,0.3987198603792128
1952,0.3911163838172605
1953,0.3924714262686429
1954,0.3951608923575655
1955,0.3957082407041892
1956,0.3735611346346046
1957,0.3714914286053596
1958,0.377203729773987
1959,0.3902013793412742
1960,0.3918194725223019
1961,0.3951453645640396
1962,0.409287581406942
1963,0.4152020684491426
1964,0.423235088550338
1965,0.425980266868549
1966,0.4258241350771704
1967,0.4178590608470474
1968,0.4131984437361048
1969,0.3977463847622808
1970,0.3824337582442137
1971,0.3818515866326987
1972,0.3777669655367615
1973,0.3727075057776783
1974,0.3394817369076517
1975,0.3476024802288109
1976,0.3536011054551188
1977,0.3553064371634138
1978,0.3529782458189218
1979,0.3383588850121671
1980,0.3245525669984601
1981,0.3288647906554684
1982,0.3208292137109713
1983,0.3341061335819282
1984,0.352077297599275
1985,0.358498043853427
1986,0.3636772033307731
1987,0.3672462078818292
1988,0.369135661421977
1989,0.3722818937952807
