,"Government Services Workers (G_w) — S&T 1994; billions_usd; period=[1952, 1989]; series_status=calculated"
Year,S606-A
1952,32.694900000000004
1953,35.5765
1954,34.159099999999995
1955,35.4786
1956,37.3249
1957,40.3739
1958,42.2429
1959,43.8992
1960,45.7671
1961,48.0852
1962,52.4926
1963,55.6591
1964,59.163
1965,63.6485
1966,73.3488
1967,82.5943
1968,92.6141
1969,101.6905
1970,109.4205
1971,118.5487
1972,128.9116
1973,137.71429999999998
1974,153.1299
1975,168.2074
1976,180.3396
1977,197.2382
1978,215.5593
1979,236.3132
1980,259.4812
1981,284.8116
1982,306.17659999999995
1983,326.2574
1984,347.8399
1985,381.1757
1986,410.1977
1987,439.218
1988,464.9765
1989,494.8035
