,"Value Composition of Capital (K/V*) — S&T 1994; ratio; period=[1948, 1989]; series_status=book_period_validated"
Year,S510-A
1948,3.2977830562153607
1949,3.489384975476647
1950,3.6052425371131696
1951,3.4578329178941005
1952,3.479862718780683
1953,3.439176065696664
1954,3.70626697155924
1955,3.792396156590717
1956,3.92422219462212
1957,4.064962894457853
1958,4.317013396807003
1959,4.112337894963101
1960,4.06900090133814
1961,4.13555053719291
1962,4.029903044954223
1963,3.997364184863416
1964,4.007709391969674
1965,3.921130841815885
1966,3.884052581760581
1967,4.028484627087216
1968,4.045656314804725
1969,4.041770029400956
1970,4.295479085315347
1971,4.434810886009912
1972,4.27284360613377
1973,4.212391697481713
1974,4.752675625148994
1975,5.072516129032258
1976,4.961081316290454
1977,4.909965607757836
1978,4.871224130264324
1979,4.985016163169035
1980,5.378839561459876
1981,5.567703026214764
1982,5.834712813784124
1983,5.650282471074105
1984,5.428107636645562
1985,5.508724753174868
1986,5.611920732745412
1987,5.579317957094959
1988,5.506113126427516
1989,5.553599315647599
