,"Productive Wage Share (V*/W) — S&T 1994; per_subseries; period=[1948, 1989]; series_status=book_period_validated","Productive Wage Share (V*/W) — ; per_subseries; period=[1948, 2024]; series_status=book_period_validated","Productive Wage Share (V*/W) — BLS CES; per_subseries; period=[1990, 2025]; series_status=book_period_validated","Productive Wage Share (V*/W) — BLS CES + BEA NIPA (level-splice ~1.17x); per_subseries; period=[1998, 2024]; series_status=book_period_validated"
Year,S512-A,S512-COMBINED,S512-EXT,S512-EXT-SPLICED-DEPRECATED
1948,0.54,0.54,nan,nan
1949,0.52,0.52,nan,nan
1950,0.52,0.52,nan,nan
1951,0.51,0.51,nan,nan
1952,0.5,0.5,nan,nan
1953,0.5,0.5,nan,nan
1954,0.48,0.48,nan,nan
1955,0.48,0.48,nan,nan
1956,0.47,0.47,nan,nan
1957,0.46,0.46,nan,nan
1958,0.44,0.44,nan,nan
1959,0.45,0.45,nan,nan
1960,0.44,0.44,nan,nan
1961,0.43,0.43,nan,nan
1962,0.43,0.43,nan,nan
1963,0.43,0.43,nan,nan
1964,0.42,0.42,nan,nan
1965,0.43,0.43,nan,nan
1966,0.43,0.43,nan,nan
1967,0.42,0.42,nan,nan
1968,0.42,0.42,nan,nan
1969,0.42,0.42,nan,nan
1970,0.41,0.41,nan,nan
1971,0.4,0.4,nan,nan
1972,0.41,0.41,nan,nan
1973,0.42,0.42,nan,nan
1974,0.41,0.41,nan,nan
1975,0.4,0.4,nan,nan
1976,0.4,0.4,nan,nan
1977,0.41,0.41,nan,nan
1978,0.41,0.41,nan,nan
1979,0.41,0.41,nan,nan
1980,0.4,0.4,nan,nan
1981,0.39,0.39,nan,nan
1982,0.38,0.38,nan,nan
1983,0.38,0.38,nan,nan
1984,0.39,0.39,nan,nan
1985,0.38,0.38,nan,nan
1986,0.37,0.37,nan,nan
1987,0.36,0.36,nan,nan
1988,0.36,0.36,nan,nan
1989,0.36,0.36,nan,nan
1990,nan,0.3410014390608473,0.3410014390608473,nan
1991,nan,0.3322703039197615,0.3322703039197615,nan
1992,nan,0.3229505327614342,0.3229505327614342,nan
1993,nan,0.3222044958596282,0.3222044958596282,nan
1994,nan,0.3259986041607591,0.3259986041607591,nan
1995,nan,0.3219165486764451,0.3219165486764451,nan
1996,nan,0.3161886662763514,0.3161886662763514,nan
1997,nan,0.3135910115871966,0.3135910115871966,nan
1998,nan,0.2692202420837295,0.2692202420837295,0.3149999999999999
1999,nan,0.2667019824598227,0.2667019824598227,0.3120535210302502
2000,nan,0.262657371647638,0.262657371647638,0.3073211413400116
2001,nan,0.2531617919338203,0.2531617919338203,0.2962108786543316
2002,nan,0.2430502117727214,0.2430502117727214,0.2843798672634588
2003,nan,0.2365555874884278,0.2365555874884278,0.2767808597233192
2004,nan,0.2340961097035964,0.2340961097035964,0.2739031581945428
2005,nan,0.2320904565979541,0.2320904565979541,0.2715564523027888
2006,nan,0.2307644074422475,0.2307644074422475,0.2700049141241785
2007,nan,0.2272889106077001,0.2272889106077001,0.2659384238246046
2008,nan,0.2217082756907,0.2217082756907,0.2594088256589946
2009,nan,0.2064572853862067,0.2064572853862067,0.2415644692735586
2010,nan,0.2015668923428044,0.2015668923428044,0.2358424856784595
2011,nan,0.2022947481666752,0.2022947481666752,0.2366941102916192
2012,nan,0.2038195416722741,0.2038195416722741,0.2384781884521101
2013,nan,0.203507307664403,0.203507307664403,0.2381128603782693
2014,nan,0.2051437113630309,0.2051437113630309,0.2400275275707439
2015,nan,0.2043042990513143,0.2043042990513143,0.2390453767631218
2016,nan,0.2023353549851155,0.2023353549851155,0.2367416221269466
2017,nan,0.2029082423382435,0.2029082423382435,0.2374119265395665
2018,nan,0.2041833083821679,0.2041833083821679,0.2389038121449262
2019,nan,0.2045711171629751,0.2045711171629751,0.2393575661606301
2020,nan,0.1997251627804394,0.1997251627804394,0.233687577831803
2021,nan,0.1964877777967116,0.1964877777967116,0.2298996892912486
2022,nan,0.1988052555544637,0.1988052555544637,0.2326112442918747
2023,nan,0.1986883870953665,0.1986883870953665,0.2324745028480268
2024,nan,0.1980497980343326,0.1980497980343326,0.2317273244313195
