,"Unproductive Employment (Lu = L - Lp) — S&T 1994; thousands; period=[1948, 1989]; series_status=book_period_validated","Unproductive Employment (Lu = L - Lp) — ; thousands; period=[1948, 2024]; series_status=book_period_validated","Unproductive Employment (Lu = L - Lp) — derived; thousands; period=[1990, 2025]; series_status=book_period_validated"
Year,S516-A,S516-COMBINED,S516-EXT
1948,25307.0,25307.0,nan
1949,25718.0,25718.0,nan
1950,26374.0,26374.0,nan
1951,29243.0,29243.0,nan
1952,30689.0,30689.0,nan
1953,31204.0,31204.0,nan
1954,31094.0,31094.0,nan
1955,31652.0,31652.0,nan
1956,32658.0,32658.0,nan
1957,33346.0,33346.0,nan
1958,33416.0,33416.0,nan
1959,34079.0,34079.0,nan
1960,34942.0,34942.0,nan
1961,35377.0,35377.0,nan
1962,36154.0,36154.0,nan
1963,36642.0,36642.0,nan
1964,37594.0,37594.0,nan
1965,38763.0,38763.0,nan
1966,40735.0,40735.0,nan
1967,42281.0,42281.0,nan
1968,43484.0,43484.0,nan
1969,44750.0,44750.0,nan
1970,45028.0,45028.0,nan
1971,45210.0,45210.0,nan
1972,45960.0,45960.0,nan
1973,47837.0,47837.0,nan
1974,48955.0,48955.0,nan
1975,49212.0,49212.0,nan
1976,50474.0,50474.0,nan
1977,52318.0,52318.0,nan
1978,54929.0,54929.0,nan
1979,56927.0,56927.0,nan
1980,57871.0,57871.0,nan
1981,58844.0,58844.0,nan
1982,58787.0,58787.0,nan
1983,59864.0,59864.0,nan
1984,62735.0,62735.0,nan
1985,64802.0,64802.0,nan
1986,66519.0,66519.0,nan
1987,68547.0,68547.0,nan
1988,70424.0,70424.0,nan
1989,72363.0,72363.0,nan
1990,nan,56630.37665213471,56630.37665213471
1991,nan,57335.4849909486,57335.4849909486
1992,nan,58063.279076011415,58063.279076011415
1993,nan,59607.77390823847,59607.77390823847
1994,nan,61665.79990507895,61665.79990507895
1995,nan,63854.11106982799,63854.11106982799
1996,nan,65814.34731881943,65814.34731881943
1997,nan,68035.23981666678,68035.23981666678
1998,nan,70372.58239824802,70372.58239824802
1999,nan,72946.02048124971,72946.02048124971
2000,nan,75051.66739733273,75051.66739733273
2001,nan,76189.29115132449,76189.29115132449
2002,nan,76481.00482402316,76481.00482402316
2003,nan,77420.43282776576,77420.43282776576
2004,nan,78643.01474395048,78643.01474395048
2005,nan,80078.78749211816,80078.78749211816
2006,nan,81490.99348977226,81490.99348977226
2007,nan,83108.5369073367,83108.5369073367
2008,nan,83435.16507786915,83435.16507786915
2009,nan,82083.62967435301,82083.62967435301
2010,nan,82427.43351119729,82427.43351119729
2011,nan,83951.52717657348,83951.52717657348
2012,nan,85802.80484165135,85802.80484165135
2013,nan,87700.06025723602,87700.06025723602
2014,nan,89487.20050511556,89487.20050511556
2015,nan,91661.14517021376,91661.14517021376
2016,nan,93841.8198364646,93841.8198364646
2017,nan,95538.0675851408,95538.0675851408
2018,nan,96861.89366605418,96861.89366605418
2019,nan,98321.60224827276,98321.60224827276
2020,nan,91930.67033649512,91930.67033649512
2021,nan,95496.20483487129,95496.20483487129
2022,nan,100173.84183102698,100173.84183102698
2023,nan,102410.09949624044,102410.09949624044
2024,nan,103682.09691303196,103682.09691303196
