,"NSW/V* Ratio — S&T 1994; ratio; period=[1952, 1989]; series_status=book_period_validated"
Year,S608-A
1952,-0.0857503175303793
1953,-0.0787908474460762
1954,-0.0611297699013863
1955,-0.0816218324233724
1956,-0.1051387940135378
1957,-0.0983947247723667
1958,-0.0553137013866595
1959,-0.0971089775739772
1960,-0.1320148374124662
1961,-0.1095264490522137
1962,-0.1253053955354387
1963,-0.1385203799506015
1964,-0.1196455772741543
1965,-0.1143366626686338
1966,-0.128455386636274
1967,-0.1016008730353237
1968,-0.1113777563785799
1969,-0.143173848462575
1970,-0.0875709975150869
1971,-0.0403008434049213
1972,-0.0690971098016361
1973,-0.0814154228184296
1974,-0.05940276784482
1975,0.0478473524041387
1976,0.0107222192004351
1977,-0.0178228974010011
1978,-0.04606925977848
1979,-0.0598413316826693
1980,-0.0261323716324664
1981,-0.0543539142177585
1982,-0.0082969709914968
1983,0.0107080592379473
1984,-0.0306376792867295
1985,-0.0441867864746955
1986,-0.041363943173374
1987,-0.0722264377166201
1988,-0.0822634707761672
1989,-0.0837339480568569
