,"Summary Table — ; mixed; period=[1948, 1989]; series_status=book_period_validated","Summary Table — ; mixed; period=[1948, 1989]; series_status=book_period_validated","Summary Table — ; mixed; period=[1948, 1989]; series_status=book_period_validated","Summary Table — ; mixed; period=[1948, 1989]; series_status=book_period_validated","Summary Table — ; mixed; period=[1948, 1989]; series_status=book_period_validated","Summary Table — ; mixed; period=[1948, 1989]; series_status=book_period_validated"
Year,S901-A/LpL_S511,S901-A/NSW_V_S608,S901-A/VW_S512,S901-A/e_S506,S901-A/r_S513,S901-A/r_adj_S514
1948,0.57,nan,0.54,1.7,nan,nan
1949,0.55,nan,0.52,1.75,nan,nan
1950,0.55,nan,0.52,1.77,nan,nan
1951,0.53,nan,0.51,1.78,nan,nan
1952,0.52,-0.0857503175303793,0.5,1.75,nan,nan
1953,0.51,-0.0787908474460762,0.5,1.74,nan,nan
1954,0.5,-0.0611297699013863,0.48,1.86,nan,nan
1955,0.5,-0.0816218324233724,0.48,1.9,nan,nan
1956,0.49,-0.1051387940135378,0.47,1.84,nan,nan
1957,0.49,-0.0983947247723667,0.46,1.88,nan,nan
1958,0.47,-0.0553137013866595,0.44,2.01,nan,nan
1959,0.47,-0.0971089775739772,0.45,1.99,nan,nan
1960,0.46,-0.1320148374124662,0.44,1.99,nan,nan
1961,0.45,-0.1095264490522137,0.43,2.03,nan,nan
1962,0.45,-0.1253053955354387,0.43,2.06,nan,nan
1963,0.45,-0.1385203799506015,0.43,2.07,nan,nan
1964,0.45,-0.1196455772741543,0.42,2.12,nan,nan
1965,0.45,-0.1143366626686338,0.43,2.1,nan,nan
1966,0.44,-0.128455386636274,0.43,2.08,nan,nan
1967,0.44,-0.1016008730353237,0.42,2.1,nan,nan
1968,0.43,-0.1113777563785799,0.42,2.08,nan,nan
1969,0.43,-0.143173848462575,0.42,2.01,nan,nan
1970,0.42,-0.0875709975150869,0.41,2.03,nan,nan
1971,0.42,-0.0403008434049213,0.4,2.08,nan,nan
1972,0.42,-0.0690971098016361,0.41,1.99,nan,nan
1973,0.43,-0.0814154228184296,0.42,1.94,nan,nan
1974,0.42,-0.05940276784482,0.41,1.95,nan,nan
1975,0.41,0.0478473524041387,0.4,2.11,nan,nan
1976,0.41,0.0107222192004351,0.4,2.11,nan,nan
1977,0.41,-0.0178228974010011,0.41,2.1,nan,nan
1978,0.41,-0.04606925977848,0.41,2.07,nan,nan
1979,0.4,-0.0598413316826693,0.41,2.03,nan,nan
1980,0.4,-0.0261323716324664,0.4,2.07,nan,nan
1981,0.39,-0.0543539142177585,0.39,2.16,nan,nan
1982,0.38,-0.0082969709914968,0.38,2.19,nan,nan
1983,0.38,0.0107080592379473,0.38,2.22,nan,nan
1984,0.38,-0.0306376792867295,0.39,2.26,nan,nan
1985,0.37,-0.0441867864746955,0.38,2.33,nan,nan
1986,0.37,-0.041363943173374,0.37,2.4,nan,nan
1987,0.36,-0.0722264377166201,0.36,2.42,nan,nan
1988,0.37,-0.0822634707761672,0.36,2.4,nan,nan
1989,0.36,-0.0837339480568569,0.36,2.44,nan,nan
