,"Exploitation Rate â€” Mohun Classification (Mohun 2005) — Mohun 2005 CJE; ratio; period=[1964, 2001]; series_status=book_period_validated"
Year,XS1401-A
1948,1.6666156153003726
1949,1.6541934607865207
1950,1.6573084152609971
1951,1.6734889907730608
1952,1.6511055765764344
1953,1.6517131139419527
1954,1.6545900344617062
1955,1.6413494175276484
1956,1.677094086877306
1957,1.696471720973931
1958,1.6987829427443968
1959,1.6699765009706176
1960,1.7257595722344994
1961,1.6927722525267508
1962,1.6960326230158098
1963,1.744036744724577
1964,1.7174213209368014
1965,1.7205369269141144
1966,1.721396973106275
1967,1.760241995736073
1968,1.7564955032790253
1969,1.7704212359671447
1970,1.7817063031807128
1971,1.7345861112628795
1972,1.7935181237925102
1973,1.7968091112443716
1974,1.7885150956643154
1975,1.7861291598695883
1976,1.807093680395338
1977,1.7931724752014646
1978,1.7607123045076047
1979,1.872838368572347
1980,1.8033273237047769
1981,1.8334366620903944
1982,1.810924412457784
1983,1.8594184484590075
1984,1.867153545143149
1985,1.8576857896532608
1986,1.8742974242176105
1987,1.856433678941246
1988,1.889900987372307
1989,1.8734879607280632
