,"Productive Labor Share â€” Mohun Classification (Mohun 2005) — Mohun 2005 CJE; share; period=[1964, 2001]; series_status=book_period_validated"
Year,XS1402-A
1948,0.5662287879782861
1949,0.5645236123447863
1950,0.564022210949502
1951,0.5648593458438517
1952,0.566865930524927
1953,0.5677202739181346
1954,0.5663372046623307
1955,0.5664220934110541
1956,0.5596757827832777
1957,0.5580163414428488
1958,0.5572347233857491
1959,0.5635253472445803
1960,0.5523164874549642
1961,0.558216551633317
1962,0.5569060438216793
1963,0.5474725128464436
1964,0.5529482952426822
1965,0.551900301292443
1966,0.5520561533301157
1967,0.5436075021345331
1968,0.5440357713812127
1969,0.5432014466483399
1970,0.5401147686018536
1971,0.5503017860507478
1972,0.5368535905883841
1973,0.5400350924810599
1974,0.5389625025738799
1975,0.538831827800278
1976,0.5357446829141732
1977,0.5399177741620206
1978,0.5443312091231676
1979,0.5229134228469027
1980,0.5356449548648221
1981,0.531418197196244
1982,0.535402364545825
1983,0.5258150039290759
1984,0.5257915316865335
1985,0.5255177135489294
1986,0.5252088889117206
1987,0.528036428688897
1988,0.5200866565526228
1989,0.5248532514955704
