year,central,lo,hi,basis
1958,0.126,0.113,0.142,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1963,0.104,0.0933,0.118,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1967,0.164,0.147,0.185,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1972,0.0954,0.0856,0.108,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1977,0.0609,0.0546,0.0688,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1990,0.0256,0.023,0.0289,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1991,0.0247,0.0222,0.0279,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1992,0.0237,0.0213,0.0268,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1993,0.0232,0.0208,0.0262,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1994,0.0225,0.0202,0.0254,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1995,0.0216,0.0194,0.0244,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1996,0.0208,0.0187,0.0235,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1997,0.02,0.0179,0.0226,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1998,0.0196,0.0176,0.0221,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1999,0.0187,0.0168,0.0211,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2000,0.0175,0.0157,0.0198,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2001,0.017,0.0152,0.0192,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2002,0.0159,0.0143,0.018,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2003,0.0148,0.0133,0.0167,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2004,0.014,0.0126,0.0158,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2005,0.0131,0.0117,0.0148,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2006,0.0126,0.0113,0.0142,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2007,0.0124,0.0111,0.014,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2008,0.0117,0.0105,0.0132,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2009,0.0119,0.0107,0.0134,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2010,0.0111,0.00996,0.0125,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2011,0.0105,0.00942,0.0119,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2012,0.0104,0.00933,0.0118,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2013,0.0103,0.00924,0.0116,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2014,0.0101,0.00906,0.0114,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2015,0.0104,0.00933,0.0118,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2016,0.0104,0.00933,0.0118,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2017,0.00979,0.00878,0.0111,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2018,0.00944,0.00847,0.0107,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2019,0.00932,0.00836,0.0105,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2020,0.00951,0.00853,0.0107,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2021,0.0085,0.00762,0.0096,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2022,0.00773,0.00693,0.00873,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2023,0.00766,0.00687,0.00866,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2024,0.0074,0.00664,0.00836,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
