series_id,year,value,units,stage,provenance
AS003-A,1948,1.3654867256637169,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.13)*(1+S506)-1
AS003-A,1949,1.388157894736842,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.14)*(1+S506)-1
AS003-A,1950,1.4484821428571424,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.12)*(1+S506)-1
AS003-A,1951,1.5721495327102808,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.07)*(1+S506)-1
AS003-A,1952,1.5443925233644862,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.07)*(1+S506)-1
AS003-A,1953,1.5116666666666667,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.08)*(1+S506)-1
AS003-A,1954,1.5508108108108107,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.11)*(1+S506)-1
AS003-A,1955,1.6099999999999999,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.1)*(1+S506)-1
AS003-A,1956,1.5794495412844034,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1957,1.615779816513761,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1958,1.7338532110091736,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1959,1.7156880733944955,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1960,1.6909999999999998,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.1)*(1+S506)-1
AS003-A,1961,1.7520183486238525,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1962,1.7792660550458712,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1963,1.840467289719626,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.07)*(1+S506)-1
AS003-A,1964,1.913962264150943,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.06)*(1+S506)-1
AS003-A,1965,1.8682242990654205,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.07)*(1+S506)-1
AS003-A,1966,1.7719999999999998,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.1)*(1+S506)-1
AS003-A,1967,1.8155963302752292,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1968,1.7974311926605502,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1969,1.7338532110091736,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1970,1.7520183486238525,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1971,1.7974311926605502,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.09)*(1+S506)-1
AS003-A,1972,1.84625,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.04)*(1+S506)-1
AS003-A,1973,1.8258252427184467,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.03)*(1+S506)-1
AS003-A,1974,1.8915841584158417,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1975,2.018529411764706,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.02)*(1+S506)-1
AS003-A,1976,2.0484158415841582,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1977,2.0386138613861386,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1978,2.009207920792079,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1979,1.940882352941176,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.02)*(1+S506)-1
AS003-A,1980,2.009207920792079,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1981,2.0974257425742575,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1982,2.1268316831683167,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1983,2.1562376237623764,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
AS003-A,1984,2.26,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=0.99)*(1+S506)-1
AS003-A,1985,2.2967,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.0)*(1+S506)-1
AS003-A,1986,2.4,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=0.99)*(1+S506)-1
AS003-A,1987,2.3857999999999997,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.0)*(1+S506)-1
AS003-A,1988,2.4,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=0.99)*(1+S506)-1
AS003-A,1989,2.3718811881188118,ratio,analytical_derivation,(hu/hp=0.99)/(ec_u/ec_p=1.01)*(1+S506)-1
