series_id,year,value,units,stage,provenance
ES1103-A,1952,0.270987012987013,share,analytical_derivation,S604 / S617
ES1103-A,1953,0.26850869689193047,share,analytical_derivation,S604 / S617
ES1103-A,1954,0.26158480649784993,share,analytical_derivation,S604 / S617
ES1103-A,1955,0.2658879249291785,share,analytical_derivation,S604 / S617
ES1103-A,1956,0.27156288305957343,share,analytical_derivation,S604 / S617
ES1103-A,1957,0.277747905027933,share,analytical_derivation,S604 / S617
ES1103-A,1958,0.27538266091777025,share,analytical_derivation,S604 / S617
ES1103-A,1959,0.2857690940122315,share,analytical_derivation,S604 / S617
ES1103-A,1960,0.3008009168745365,share,analytical_derivation,S604 / S617
ES1103-A,1961,0.30167332111532924,share,analytical_derivation,S604 / S617
ES1103-A,1962,0.3079381222894142,share,analytical_derivation,S604 / S617
ES1103-A,1963,0.31415084510303315,share,analytical_derivation,S604 / S617
ES1103-A,1964,0.29935793417612333,share,analytical_derivation,S604 / S617
ES1103-A,1965,0.29789805412435594,share,analytical_derivation,S604 / S617
ES1103-A,1966,0.31030974150581336,share,analytical_derivation,S604 / S617
ES1103-A,1967,0.31611330753701217,share,analytical_derivation,S604 / S617
ES1103-A,1968,0.32834826193017225,share,analytical_derivation,S604 / S617
ES1103-A,1969,0.34244998876151944,share,analytical_derivation,S604 / S617
ES1103-A,1970,0.33130003719937245,share,analytical_derivation,S604 / S617
ES1103-A,1971,0.3269002229400792,share,analytical_derivation,S604 / S617
ES1103-A,1972,0.33890724829257546,share,analytical_derivation,S604 / S617
ES1103-A,1973,0.34017678973463084,share,analytical_derivation,S604 / S617
ES1103-A,1974,0.342602519943004,share,analytical_derivation,S604 / S617
ES1103-A,1975,0.32854924737530045,share,analytical_derivation,S604 / S617
ES1103-A,1976,0.3337471286099164,share,analytical_derivation,S604 / S617
ES1103-A,1977,0.33648382655402764,share,analytical_derivation,S604 / S617
ES1103-A,1978,0.33563070348999047,share,analytical_derivation,S604 / S617
ES1103-A,1979,0.33755444548746144,share,analytical_derivation,S604 / S617
ES1103-A,1980,0.33538987437584694,share,analytical_derivation,S604 / S617
ES1103-A,1981,0.3511107053739882,share,analytical_derivation,S604 / S617
ES1103-A,1982,0.3438793713719383,share,analytical_derivation,S604 / S617
ES1103-A,1983,0.340359528876132,share,analytical_derivation,S604 / S617
ES1103-A,1984,0.3420168659352374,share,analytical_derivation,S604 / S617
ES1103-A,1985,0.3493316297438279,share,analytical_derivation,S604 / S617
ES1103-A,1986,0.3504453691168273,share,analytical_derivation,S604 / S617
ES1103-A,1987,0.35835357328772216,share,analytical_derivation,S604 / S617
ES1103-A,1988,0.3566599428591099,share,analytical_derivation,S604 / S617
ES1103-A,1989,0.3627443325755116,share,analytical_derivation,S604 / S617
