series_id,year,value,units,stage,provenance
S603-A,1952,4.1925,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1953,4.548,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1954,4.8365,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1955,5.224,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1956,5.7265,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1957,6.3045,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1958,6.882,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1959,7.406,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1960,8.119,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1961,8.79,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1962,9.479,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1963,10.1225,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1964,10.8435,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1965,11.5935,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1966,12.2675,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1967,13.482,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1968,14.948,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1969,16.3815,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1970,18.337,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1971,20.2225,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1972,21.6135,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1973,23.1775,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1974,24.49,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1975,26.692,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1976,29.1235,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1977,31.6,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1978,31.874,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1979,32.2015,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1980,34.413,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1981,38.54,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1982,42.65,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1983,45.9385,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1984,49.85,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1985,53.7455,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1986,58.079,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1987,63.211,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1988,68.248,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
S603-A,1989,74.9315,billions_usd,book_period,Table6_1_TaxAccounts.csv:property_tax_workers
