TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T20100,A065RC,1,Personal income,1929,Current Dollars,Level,6,"85,289",T20100
T20100,A065RC,1,Personal income,1930,Current Dollars,Level,6,"76,533",T20100
T20100,A065RC,1,Personal income,1931,Current Dollars,Level,6,"65,668",T20100
T20100,A065RC,1,Personal income,1932,Current Dollars,Level,6,"50,294",T20100
T20100,A065RC,1,Personal income,1933,Current Dollars,Level,6,"47,234",T20100
T20100,A065RC,1,Personal income,1934,Current Dollars,Level,6,"54,090",T20100
T20100,A065RC,1,Personal income,1935,Current Dollars,Level,6,"60,843",T20100
T20100,A065RC,1,Personal income,1936,Current Dollars,Level,6,"69,221",T20100
T20100,A065RC,1,Personal income,1937,Current Dollars,Level,6,"74,710",T20100
T20100,A065RC,1,Personal income,1938,Current Dollars,Level,6,"69,084",T20100
T20100,A065RC,1,Personal income,1939,Current Dollars,Level,6,"73,632",T20100
T20100,A065RC,1,Personal income,1940,Current Dollars,Level,6,"79,408",T20100
T20100,A065RC,1,Personal income,1941,Current Dollars,Level,6,"97,878",T20100
T20100,A065RC,1,Personal income,1942,Current Dollars,Level,6,"126,724",T20100
T20100,A065RC,1,Personal income,1943,Current Dollars,Level,6,"156,187",T20100
T20100,A065RC,1,Personal income,1944,Current Dollars,Level,6,"169,717",T20100
T20100,A065RC,1,Personal income,1945,Current Dollars,Level,6,"175,786",T20100
T20100,A065RC,1,Personal income,1946,Current Dollars,Level,6,"182,534",T20100
T20100,A065RC,1,Personal income,1947,Current Dollars,Level,6,"194,481",T20100
T20100,A065RC,1,Personal income,1948,Current Dollars,Level,6,"213,496",T20100
T20100,A065RC,1,Personal income,1949,Current Dollars,Level,6,"211,071",T20100
T20100,A065RC,1,Personal income,1950,Current Dollars,Level,6,"233,735",T20100
T20100,A065RC,1,Personal income,1951,Current Dollars,Level,6,"264,232",T20100
T20100,A065RC,1,Personal income,1952,Current Dollars,Level,6,"282,460",T20100
T20100,A065RC,1,Personal income,1953,Current Dollars,Level,6,"299,227",T20100
T20100,A065RC,1,Personal income,1954,Current Dollars,Level,6,"302,221",T20100
T20100,A065RC,1,Personal income,1955,Current Dollars,Level,6,"324,159",T20100
T20100,A065RC,1,Personal income,1956,Current Dollars,Level,6,"347,903",T20100
T20100,A065RC,1,Personal income,1957,Current Dollars,Level,6,"367,983",T20100
T20100,A065RC,1,Personal income,1958,Current Dollars,Level,6,"378,953",T20100
T20100,A065RC,1,Personal income,1959,Current Dollars,Level,6,"402,865",T20100
T20100,A065RC,1,Personal income,1960,Current Dollars,Level,6,"422,138",T20100
T20100,A065RC,1,Personal income,1961,Current Dollars,Level,6,"440,576",T20100
T20100,A065RC,1,Personal income,1962,Current Dollars,Level,6,"468,837",T20100
T20100,A065RC,1,Personal income,1963,Current Dollars,Level,6,"492,774",T20100
T20100,A065RC,1,Personal income,1964,Current Dollars,Level,6,"528,193",T20100
T20100,A065RC,1,Personal income,1965,Current Dollars,Level,6,"570,659",T20100
T20100,A065RC,1,Personal income,1966,Current Dollars,Level,6,"620,339",T20100
T20100,A065RC,1,Personal income,1967,Current Dollars,Level,6,"665,723",T20100
T20100,A065RC,1,Personal income,1968,Current Dollars,Level,6,"730,915",T20100
