TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T60500D,A4301C,1,Full-time equivalent employees,1998,Persons,Level,3,"117,761","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,1999,Persons,Level,3,"120,323","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2000,Persons,Level,3,"122,988","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2001,Persons,Level,3,"123,184","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2002,Persons,Level,3,"121,925","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2003,Persons,Level,3,"121,372","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2004,Persons,Level,3,"122,473","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2005,Persons,Level,3,"124,694","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2006,Persons,Level,3,"126,892","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2007,Persons,Level,3,"128,197","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2008,Persons,Level,3,"127,127","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2009,Persons,Level,3,"120,655","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2010,Persons,Level,3,"119,697","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2011,Persons,Level,3,"121,139","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2012,Persons,Level,3,"123,521","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2013,Persons,Level,3,"125,540","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2014,Persons,Level,3,"128,130","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2015,Persons,Level,3,"131,007","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2016,Persons,Level,3,"133,022","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2017,Persons,Level,3,"135,101","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2018,Persons,Level,3,"137,554","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2019,Persons,Level,3,"139,763","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2020,Persons,Level,3,"132,393","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2021,Persons,Level,3,"136,174","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2022,Persons,Level,3,"141,528","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2023,Persons,Level,3,"143,979","T60500D,T60500D.1"
T60500D,A4301C,1,Full-time equivalent employees,2024,Persons,Level,3,"145,124","T60500D,T60500D.1"
T60500D,A4302C,2,Domestic industries,1998,Persons,Level,3,"118,162",T60500D
T60500D,A4302C,2,Domestic industries,1999,Persons,Level,3,"120,764",T60500D
T60500D,A4302C,2,Domestic industries,2000,Persons,Level,3,"123,384",T60500D
T60500D,A4302C,2,Domestic industries,2001,Persons,Level,3,"123,725",T60500D
T60500D,A4302C,2,Domestic industries,2002,Persons,Level,3,"122,474",T60500D
T60500D,A4302C,2,Domestic industries,2003,Persons,Level,3,"121,964",T60500D
T60500D,A4302C,2,Domestic industries,2004,Persons,Level,3,"123,101",T60500D
T60500D,A4302C,2,Domestic industries,2005,Persons,Level,3,"125,359",T60500D
T60500D,A4302C,2,Domestic industries,2006,Persons,Level,3,"127,578",T60500D
T60500D,A4302C,2,Domestic industries,2007,Persons,Level,3,"128,922",T60500D
T60500D,A4302C,2,Domestic industries,2008,Persons,Level,3,"128,227",T60500D
T60500D,A4302C,2,Domestic industries,2009,Persons,Level,3,"121,457",T60500D
T60500D,A4302C,2,Domestic industries,2010,Persons,Level,3,"120,519",T60500D
T60500D,A4302C,2,Domestic industries,2011,Persons,Level,3,"121,965",T60500D
T60500D,A4302C,2,Domestic industries,2012,Persons,Level,3,"124,500",T60500D
T60500D,A4302C,2,Domestic industries,2013,Persons,Level,3,"126,606",T60500D
T60500D,A4302C,2,Domestic industries,2014,Persons,Level,3,"129,326",T60500D
T60500D,A4302C,2,Domestic industries,2015,Persons,Level,3,"132,262",T60500D
T60500D,A4302C,2,Domestic industries,2016,Persons,Level,3,"134,426",T60500D
T60500D,A4302C,2,Domestic industries,2017,Persons,Level,3,"136,565",T60500D
T60500D,A4302C,2,Domestic industries,2018,Persons,Level,3,"138,990",T60500D
T60500D,A4302C,2,Domestic industries,2019,Persons,Level,3,"141,249",T60500D
T60500D,A4302C,2,Domestic industries,2020,Persons,Level,3,"133,370",T60500D
T60500D,A4302C,2,Domestic industries,2021,Persons,Level,3,"137,562",T60500D
T60500D,A4302C,2,Domestic industries,2022,Persons,Level,3,"143,395",T60500D
T60500D,A4302C,2,Domestic industries,2023,Persons,Level,3,"146,061",T60500D
T60500D,A4302C,2,Domestic industries,2024,Persons,Level,3,"147,349",T60500D
T60500D,A4303C,3,Private industries,1998,Persons,Level,3,"99,461",T60500D
T60500D,A4303C,3,Private industries,1999,Persons,Level,3,"101,920",T60500D
T60500D,A4303C,3,Private industries,2000,Persons,Level,3,"104,283",T60500D
T60500D,A4303C,3,Private industries,2001,Persons,Level,3,"104,294",T60500D
T60500D,A4303C,3,Private industries,2002,Persons,Level,3,"102,658",T60500D
T60500D,A4303C,3,Private industries,2003,Persons,Level,3,"102,043",T60500D
T60500D,A4303C,3,Private industries,2004,Persons,Level,3,"103,144",T60500D
T60500D,A4303C,3,Private industries,2005,Persons,Level,3,"105,361",T60500D
T60500D,A4303C,3,Private industries,2006,Persons,Level,3,"107,547",T60500D
T60500D,A4303C,3,Private industries,2007,Persons,Level,3,"108,663",T60500D
T60500D,A4303C,3,Private industries,2008,Persons,Level,3,"107,656",T60500D
T60500D,A4303C,3,Private industries,2009,Persons,Level,3,"100,849",T60500D
T60500D,A4303C,3,Private industries,2010,Persons,Level,3,"99,955",T60500D
T60500D,A4303C,3,Private industries,2011,Persons,Level,3,"101,690",T60500D
T60500D,A4303C,3,Private industries,2012,Persons,Level,3,"104,465",T60500D
T60500D,A4303C,3,Private industries,2013,Persons,Level,3,"106,686",T60500D
T60500D,A4303C,3,Private industries,2014,Persons,Level,3,"109,296",T60500D
T60500D,A4303C,3,Private industries,2015,Persons,Level,3,"112,269",T60500D
T60500D,A4303C,3,Private industries,2016,Persons,Level,3,"114,150",T60500D
T60500D,A4303C,3,Private industries,2017,Persons,Level,3,"116,190",T60500D
T60500D,A4303C,3,Private industries,2018,Persons,Level,3,"118,452",T60500D
T60500D,A4303C,3,Private industries,2019,Persons,Level,3,"120,461",T60500D
T60500D,A4303C,3,Private industries,2020,Persons,Level,3,"113,084",T60500D
T60500D,A4303C,3,Private industries,2021,Persons,Level,3,"117,272",T60500D
T60500D,A4303C,3,Private industries,2022,Persons,Level,3,"122,779",T60500D
T60500D,A4303C,3,Private industries,2023,Persons,Level,3,"125,067",T60500D
T60500D,A4303C,3,Private industries,2024,Persons,Level,3,"125,716",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",1998,Persons,Level,3,"1,173",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",1999,Persons,Level,3,"1,198",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",2000,Persons,Level,3,"1,170",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",2001,Persons,Level,3,"1,095",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",2002,Persons,Level,3,"1,085",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",2003,Persons,Level,3,"1,098",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",2004,Persons,Level,3,"1,043",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",2005,Persons,Level,3,"1,016",T60500D
T60500D,N4304C,4,"Agriculture, forestry, fishing, and hunting",2006,Persons,Level,3,"1,099",T60500D
