year,ec_u_over_ec_p,source,note
1948,1.13,Shaikh-Tonak 1994 Appendix I Table I.1,unproductive/productive compensation ratio
1949,1.14,Shaikh-Tonak 1994 Appendix I Table I.1,
1950,1.12,Shaikh-Tonak 1994 Appendix I Table I.1,
1951,1.07,Shaikh-Tonak 1994 Appendix I Table I.1,
1952,1.07,Shaikh-Tonak 1994 Appendix I Table I.1,
1953,1.08,Shaikh-Tonak 1994 Appendix I Table I.1,
1954,1.11,Shaikh-Tonak 1994 Appendix I Table I.1,
1955,1.10,Shaikh-Tonak 1994 Appendix I Table I.1,
1956,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1957,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1958,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1959,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1960,1.10,Shaikh-Tonak 1994 Appendix I Table I.1,
1961,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1962,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1963,1.07,Shaikh-Tonak 1994 Appendix I Table I.1,
1964,1.06,Shaikh-Tonak 1994 Appendix I Table I.1,
1965,1.07,Shaikh-Tonak 1994 Appendix I Table I.1,
1966,1.10,Shaikh-Tonak 1994 Appendix I Table I.1,
1967,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1968,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1969,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1970,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1971,1.09,Shaikh-Tonak 1994 Appendix I Table I.1,
1972,1.04,Shaikh-Tonak 1994 Appendix I Table I.1,
1973,1.03,Shaikh-Tonak 1994 Appendix I Table I.1,
1974,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1975,1.02,Shaikh-Tonak 1994 Appendix I Table I.1,
1976,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1977,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1978,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1979,1.02,Shaikh-Tonak 1994 Appendix I Table I.1,
1980,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1981,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1982,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1983,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
1984,0.99,Shaikh-Tonak 1994 Appendix I Table I.1,
1985,1.00,Shaikh-Tonak 1994 Appendix I Table I.1,
1986,0.99,Shaikh-Tonak 1994 Appendix I Table I.1,
1987,1.00,Shaikh-Tonak 1994 Appendix I Table I.1,
1988,0.99,Shaikh-Tonak 1994 Appendix I Table I.1,
1989,1.01,Shaikh-Tonak 1994 Appendix I Table I.1,
