# source=Table_H.1_Shaikh_Tonak_1994 | pages=324-327 | units=billions_current_dollars | digitized=2026-05-08
year,S_star,VA_star,V_star,S_star_V_star,SP_star,FP_star,GFP_star,TP_star,Mp,Dp,P_plus,VA_NNP,EC,P_plus_EC
1948,149.94,238.35,88.41,1.70,149.91,238.32,247.74,446.21,198.47,9.42,99.11,241.20,142.09,0.70
1949,148.64,233.66,85.02,1.75,148.58,233.60,242.90,431.96,189.06,9.29,96.40,238.40,142.00,0.68
1950,165.26,258.42,93.16,1.77,165.09,258.25,269.06,481.62,212.56,10.81,109.18,264.60,155.42,0.70
1951,188.25,294.17,105.91,1.78,188.26,294.18,307.03,551.62,244.59,12.85,124.61,306.20,181.60,0.69
1952,194.51,305.52,111.01,1.75,194.79,305.81,319.61,573.95,254.35,13.80,126.15,322.50,196.35,0.64
1953,204.52,321.91,117.39,1.74,204.29,321.68,336.71,605.37,268.66,15.04,130.28,340.70,210.42,0.62
1954,208.20,320.10,111.95,1.86,208.20,320.10,335.20,596.60,261.30,15.00,130.60,340.00,209.30,0.62
1955,228.55,349.07,120.52,1.90,228.16,348.67,365.74,652.91,287.18,17.07,145.59,371.50,225.92,0.64
1956,236.97,365.79,128.82,1.84,236.74,365.56,384.10,687.21,303.11,18.54,145.36,390.10,244.74,0.59
1957,250.25,383.25,133.00,1.88,249.88,382.88,402.67,717.30,314.63,19.79,152.14,409.90,257.76,0.59
1958,256.15,383.87,127.72,2.01,256.04,383.75,403.67,711.67,308.00,19.92,154.24,414.00,259.76,0.59
1959,278.42,417.99,139.57,1.99,278.34,417.91,439.36,774.29,334.93,21.44,169.96,451.20,281.24,0.60
1960,286.46,430.69,144.23,1.99,285.93,430.16,451.95,795.67,343.72,21.78,172.24,468.90,296.66,0.58
1961,296.54,442.67,146.13,2.03,295.95,442.08,463.88,811.42,347.54,21.80,180.54,486.10,305.56,0.59
1962,320.20,475.73,155.54,2.06,319.54,475.07,498.12,869.52,371.40,23.05,197.78,525.20,327.42,0.60
1963,337.71,500.46,162.76,2.07,337.07,499.83,523.74,913.42,389.68,23.91,209.98,555.50,345.52,0.61
1964,364.54,536.54,172.00,2.12,364.00,536.00,561.05,973.35,412.31,25.05,224.91,595.90,370.99,0.61
1965,395.00,583.42,188.43,2.10,394.44,582.87,609.78,1057.19,447.41,26.91,247.88,647.70,399.82,0.62
1966,430.65,637.72,207.07,2.08,430.09,637.16,665.94,1149.69,483.74,28.79,266.95,709.90,442.95,0.60
1967,454.40,670.66,216.26,2.10,453.42,669.68,699.15,1199.81,500.66,29.48,273.48,749.00,475.52,0.58
1968,493.63,730.40,236.77,2.08,493.12,729.89,762.32,1307.46,545.14,32.43,293.98,818.70,524.72,0.56
1969,523.83,785.04,261.22,2.01,523.25,784.46,819.72,1406.26,586.54,35.26,304.13,882.50,578.37,0.53
1970,547.67,818.11,270.43,2.03,546.86,817.30,853.88,1456.35,602.47,36.59,308.31,926.60,618.29,0.50
1971,596.70,884.22,287.53,2.08,596.04,883.56,923.12,1567.82,644.70,39.56,345.73,1005.10,659.37,0.52
1972,645.98,970.28,324.30,1.99,645.51,969.81,1014.08,1728.41,714.33,44.27,378.56,1104.80,726.24,0.52
1973,719.75,1090.24,370.49,1.94,719.63,1090.12,1142.52,1979.91,837.40,52.40,428.37,1241.20,812.83,0.53
1974,778.25,1176.75,398.50,1.95,778.82,1177.33,1235.82,2162.38,926.56,58.50,444.12,1335.40,891.29,0.50
1975,867.02,1277.77,410.75,2.11,868.78,1279.53,1344.71,2368.48,1023.78,65.17,487.92,1436.60,948.68,0.51
1976,968.82,1428.45,459.63,2.11,971.25,1430.88,1507.06,2694.39,1187.33,76.18,545.75,1603.10,1057.85,0.52
1977,1083.13,1598.95,515.81,2.10,1086.66,1602.47,1690.83,3058.10,1367.27,88.36,612.38,1789.00,1176.62,0.52
1978,1221.07,1810.27,589.20,2.07,1221.76,1810.97,1910.87,3456.76,1545.89,99.90,690.57,2019.80,1329.23,0.52
1979,1346.24,2011.02,664.78,2.03,1347.44,2012.22,2122.76,3833.25,1710.49,110.54,751.00,2242.40,1491.40,0.50
1980,1462.70,2169.23,706.53,2.07,1463.67,2170.20,2289.84,4141.10,1851.27,119.64,789.88,2428.10,1638.22,0.48
1981,1668.19,2440.54,772.35,2.16,1669.40,2441.75,2576.06,4654.40,2078.34,134.31,897.39,2704.80,1807.41,0.50
1982,1724.68,2511.20,786.53,2.19,1726.06,2512.59,2649.25,4763.86,2114.61,136.66,875.79,2782.80,1907.01,0.46
1983,1865.80,2705.53,839.73,2.22,1867.15,2706.88,2851.36,5086.97,2235.61,144.48,988.40,3009.10,2020.70,0.49
1984,2101.78,3030.46,928.68,2.26,2103.70,3032.38,3193.77,5691.02,2497.25,161.39,1142.88,3356.80,2213.93,0.52
1985,2258.68,3226.68,967.99,2.33,2258.31,3226.30,3395.53,6014.18,2618.65,169.23,1210.05,3577.60,2367.55,0.51
1986,2401.11,3399.66,998.55,2.40,2389.25,3387.80,3559.99,6224.47,2664.48,172.19,1260.10,3771.50,2511.40,0.50
1987,2563.38,3624.28,1060.90,2.42,2555.52,3616.42,3797.93,6606.59,2808.66,181.51,1339.20,4028.60,2689.40,0.50
1988,2752.81,3899.03,1146.22,2.40,2755.18,3901.40,4103.23,7226.22,3122.99,201.83,1454.30,4359.40,2905.10,0.50
1989,2943.35,4149.75,1206.40,2.44,2945.32,4151.71,4363.57,7641.82,3278.25,211.86,1567.40,4646.40,3079.00,0.51
