bea_io_85_code,bea_io_85_name,sic_range,st_classification,bea_naics_71_code,naics_71_st_classification,bridge_quality,notes
1,Dairy farm products,01,productive,111CA,productive,coarse_aggregation,classification_agree
1,Dairy farm products,01,productive,113FF,productive,coarse_aggregation,classification_agree
2,Poultry & eggs,01,productive,111CA,productive,coarse_aggregation,classification_agree
2,Poultry & eggs,01,productive,113FF,productive,coarse_aggregation,classification_agree
3,Meat animals & misc livestock,01,productive,111CA,productive,coarse_aggregation,classification_agree
3,Meat animals & misc livestock,01,productive,113FF,productive,coarse_aggregation,classification_agree
4,"Cotton, food grains, tobacco, fruits, vegetables",01-02,productive,111CA,productive,coarse_aggregation,classification_agree
4,"Cotton, food grains, tobacco, fruits, vegetables",01-02,productive,113FF,productive,coarse_aggregation,classification_agree
5,Coal mining,11-12,productive,212,productive,coarse_aggregation,classification_agree
6,Crude petroleum & natural gas,13,productive,211,productive,coarse_aggregation,classification_agree
7,Stone & clay mining,14,productive,212,productive,coarse_aggregation,classification_agree
7,Stone & clay mining,14,productive,213,productive,coarse_aggregation,classification_agree
8,Chemical & fertilizer mineral mining,14,productive,212,productive,coarse_aggregation,classification_agree
8,Chemical & fertilizer mineral mining,14,productive,213,productive,coarse_aggregation,classification_agree
9,New construction,15-17,productive,23,productive,coarse_aggregation,classification_agree
10,Maintenance & repair construction,15-17,productive,23,productive,coarse_aggregation,classification_agree
11,Ordnance & accessories,19,productive,332,productive,coarse_aggregation,classification_agree
12,Meat products,20,productive,311FT,productive,coarse_aggregation,classification_agree
13,Dairy products,20,productive,311FT,productive,coarse_aggregation,classification_agree
14,Canned & frozen foods,20,productive,311FT,productive,coarse_aggregation,classification_agree
15,Grain mill products,20,productive,311FT,productive,coarse_aggregation,classification_agree
16,Bakery products,20,productive,311FT,productive,coarse_aggregation,classification_agree
17,Sugar,20,productive,311FT,productive,coarse_aggregation,classification_agree
18,Confectionery products,20,productive,311FT,productive,coarse_aggregation,classification_agree
19,Alcoholic beverages,20,productive,311FT,productive,coarse_aggregation,classification_agree
20,Soft drinks & flavorings,20,productive,311FT,productive,coarse_aggregation,classification_agree
21,Tobacco manufactures,21,productive,311FT,productive,coarse_aggregation,classification_agree
