year,industry_va_pct_gdp,services_va_pct_gdp,govt_consumption_pct_gdp,gdp_growth_pct,employment_pop_ratio
1980,23.49,49.01,11.55,-2.45,
1981,26.69,47.70,9.84,4.86,
1982,27.78,48.40,9.94,3.56,
1983,26.63,50.37,9.39,4.97,
1984,25.62,50.92,8.34,6.71,
1985,26.37,51.14,7.52,4.24,
1986,30.99,46.56,7.59,7.01,
1987,31.39,47.24,7.82,9.49,
1988,32.82,46.64,7.61,2.32,
1989,32.97,47.42,9.34,0.29,
1990,31.06,48.05,10.96,9.27,
1991,31.54,49.69,12.42,0.72,52.32
1992,31.18,50.11,12.93,5.04,51.23
1993,29.82,50.66,12.89,7.65,47.48
1994,32.08,48.94,11.66,-4.67,49.96
1995,34.08,44.80,8.74,7.88,49.99
1996,33.26,46.16,9.09,7.16,50.17
1997,33.22,47.10,9.74,7.36,48.96
1998,31.02,48.64,10.61,1.91,49.16
1999,28.28,52.54,12.70,-3.05,48.65
2000,26.80,52.78,11.99,6.99,46.70
2001,25.52,54.99,12.75,-5.46,45.65
2002,24.63,53.58,12.99,6.44,44.44
2003,24.84,53.14,12.78,5.80,43.24
2004,25.16,53.09,12.53,9.93,41.29
2005,25.29,53.07,12.44,9.11,41.49
2006,26.09,53.46,13.21,7.07,41.54
2007,26.43,54.93,13.73,5.11,41.48
2008,26.21,55.59,13.98,0.92,41.75
2009,24.05,57.27,16.21,-4.88,41.16
2010,24.51,54.66,14.69,8.54,43.01
2011,26.85,53.18,14.04,10.98,44.98
2012,26.68,54.09,14.44,4.81,45.36
2013,27.75,53.36,14.27,8.49,45.90
2014,28.20,53.83,14.57,4.60,45.51
2015,27.96,53.37,13.50,5.81,46.01
2016,28.34,53.64,14.60,3.32,46.33
2017,29.03,53.56,14.11,7.83,47.06
2018,29.19,54.61,14.51,3.47,47.38
2019,27.07,56.53,15.24,1.30,45.68
