RowCode,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
111CA,1.2401506,0.0455556,0.0024064,0.0041655,0.0021291,0.0016922,0.0045152,0.4180299,0.0937303,0.0314794,0.0254084,0.0150368,0.0114587,0.0041362,0.0653882,0.025126,0.0072545,0.0038792,0.0035626,0.003854,0.0016536,0.0041597,0.0063826,0.0026925,0.0116747,0.0098187,0.0021067,0.0043274,0.0058203,0.0025979,0.0047113,0.0020617,0.0059584,0.0020246,0.0011119,0.0011672,0.0031777,0.0021923,0.0023851,0.0018464,0.0013068,0.001757,0.0025653,0.0014173,0.0017904,0.0007281,0.0021127,0.0017768,0.0014687,0.0049023,0.001356,0.0018386,0.0046073,0.0034907,0.0121098,0.0039007,0.0090311,0.0174213,0.023613,0.0031138,0.0176269,0.0151265,0.0426116,0.002889,0.0056762,0.0042904,0.0010732,0.0030175,0.0155362,0.0002829,0.0035253
113FF,0.0717518,1.1238,0.0004441,0.0021164,0.0006635,0.0004919,0.0042025,0.0353696,0.0068568,0.0139164,0.1416605,0.0271644,0.0057855,0.0006422,0.0058784,0.0154765,0.0020347,0.0016554,0.0011838,0.0018863,0.0006832,0.0017036,0.0033483,0.0011026,0.0160841,0.0052024,0.0008212,0.0006281,0.0049144,0.0005761,0.0008806,0.0028914,0.0009933,0.0006356,0.0008542,0.0005394,0.0014513,0.0009975,0.0007317,0.0008002,0.0004475,0.0007315,0.0013362,0.0004233,0.000524,0.0002222,0.0005834,0.0006935,0.0004531,0.0010038,0.0003639,0.0005067,0.0008678,0.0009147,0.0016179,0.0008904,0.0013324,0.002067,0.003687,0.0005144,0.0029382,0.0043243,0.0076378,0.0009559,0.0013516,0.0007053,0.0006068,0.0013215,0.0031427,0.0002074,0.0018019
211,0.0449603,0.0271184,1.1259156,0.0849952,0.0272223,0.1158294,0.0449141,0.0348984,0.0491606,0.0155336,0.0388797,0.0438466,0.0298822,0.7628026,0.0739574,0.0519995,0.0423022,0.0493604,0.0264233,0.0230962,0.0084795,0.0285238,0.0262975,0.013295,0.0315525,0.0268309,0.013105,0.0111837,0.0162959,0.0110889,0.1652709,0.0921279,0.1376448,0.1448178,0.0389723,0.0129431,0.0726857,0.0284969,0.0118067,0.0081894,0.0054411,0.0082175,0.0122268,0.0130041,0.0151531,0.0032955,0.0224918,0.0147719,0.0061412,0.0092014,0.0060003,0.0103381,0.0123944,0.0317109,0.0133519,0.0108327,0.0166374,0.0153586,0.0167,0.0068339,0.0158983,0.0191044,0.017353,0.0137314,0.0664628,0.0394839,0.0131711,0.1347695,0.0519607,0.0026217,0.0240436
212,0.0116782,0.0029499,0.0048621,1.0756001,0.0032934,0.027939,0.0168593,0.0097108,0.0133556,0.003315,0.0066409,0.0214396,0.0068036,0.0085379,0.0218184,0.0135502,0.1008658,0.0832386,0.0258476,0.0179158,0.0038154,0.0199721,0.0174804,0.0087243,0.0113047,0.0095114,0.0018016,0.0016333,0.0028297,0.002055,0.0034023,0.0050533,0.0047566,0.003184,0.0015767,0.0025968,0.0034687,0.0059882,0.0020754,0.0018737,0.0012391,0.0029523,0.0041214,0.0010982,0.0017541,0.000569,0.0021766,0.0018279,0.0010591,0.0025706,0.0010087,0.0017662,0.0025795,0.0053558,0.0031949,0.0022162,0.0027978,0.002671,0.003293,0.002718,0.0064942,0.0036742,0.0037949,0.0044352,0.0031721,0.0024204,0.0094603,0.0252606,0.0034125,0.0007299,0.0045396
213,0.0020636,0.0011576,0.0446176,0.0246455,1.0099189,0.0051643,0.0023385,0.001696,0.0022947,0.0007139,0.001837,0.0023834,0.0014145,0.0303467,0.0034618,0.0025076,0.0038076,0.0037865,0.0020266,0.0016503,0.0005292,0.0018742,0.0017138,0.0009699,0.0017864,0.0014017,0.0005782,0.0004976,0.0007241,0.0004977,0.006625,0.003788,0.0057199,0.0058231,0.001594,0.0006551,0.0029927,0.0013056,0.0005333,0.0004028,0.0002518,0.0004694,0.0006168,0.0005499,0.0006545,0.0001487,0.0009553,0.0006515,0.0002769,0.0004734,0.0002853,0.0004703,0.0005732,0.001506,0.0006142,0.0004934,0.0007396,0.0006835,0.0007867,0.0003355,0.0007901,0.0008672,0.0007989,0.0006884,0.0027634,0.0016656,0.0007514,0.005934,0.0021511,0.0001281,0.0010802
22,0.0260905,0.0082966,0.021334,0.0437224,0.0069164,1.0519412,0.0151395,0.0266415,0.0440198,0.0144362,0.0391734,0.0553163,0.0307707,0.0247473,0.0351398,0.0420894,0.0488091,0.0594067,0.0332809,0.0247085,0.0123494,0.0265635,0.0279867,0.0165194,0.0292304,0.0193678,0.0168418,0.0199267,0.0490384,0.0337893,0.0107936,0.0095397,0.0155776,0.0152123,0.0065779,0.0286885,0.0137432,0.1129034,0.0267656,0.009797,0.0073007,0.0121793,0.0130319,0.0078614,0.010031,0.0046269,0.0224705,0.0119608,0.0088682,0.0100058,0.0045923,0.0201503,0.0094305,0.0155189,0.0229172,0.0116099,0.019142,0.0216417,0.0185117,0.0097417,0.0228082,0.0465634,0.0350435,0.0156843,0.0198247,0.0087516,0.0089625,0.0189185,0.0139319,0.0013066,0.0632549
23,0.0163148,0.0041827,0.0100664,0.0377883,0.0180077,0.0253814,1.006088,0.0113534,0.0110758,0.0048891,0.011538,0.0145754,0.0104493,0.0183536,0.0108963,0.0119467,0.0152999,0.0170567,0.0107928,0.0086802,0.004037,0.0085577,0.0091121,0.0054587,0.010633,0.0069863,0.0076936,0.0080476,0.0131321,0.0105422,0.0103017,0.0330689,0.0115176,0.0103776,0.0076372,0.0303522,0.0166484,0.0281741,0.0126447,0.0046353,0.0041462,0.0086416,0.0062992,0.0091702,0.0098383,0.0045467,0.012818,0.0066189,0.0071409,0.0065132,0.0026529,0.0071975,0.0049324,0.0068717,0.0098749,0.0067552,0.0078931,0.0119842,0.0132131,0.0065155,0.0108257,0.0150585,0.0118567,0.0126505,0.013928,0.013445,0.0097231,0.1502521,0.0201451,0.0383512,0.0692054
311FT,0.1347617,0.0242719,0.0019553,0.0030189,0.0022671,0.00212,0.0026722,1.3054688,0.0210579,0.055793,0.0090138,0.0112081,0.0158233,0.0038423,0.0320341,0.0149665,0.0094702,0.0049581,0.0034671,0.0033795,0.0015142,0.0035246,0.0048437,0.002201,0.0060698,0.0051208,0.0033018,0.0020135,0.005743,0.0036064,0.0107418,0.0019941,0.0126774,0.0023417,0.001263,0.0013693,0.0033727,0.0026016,0.0023295,0.0025581,0.0021225,0.0023754,0.0041869,0.002645,0.0033564,0.0013457,0.0041193,0.0026299,0.0026762,0.0077088,0.0023421,0.0028298,0.0039204,0.0039577,0.0332026,0.0047631,0.0210946,0.0480112,0.0683492,0.0080717,0.0411442,0.040772,0.1167875,0.004403,0.013864,0.0099922,0.0025922,0.0027301,0.0370325,0.0002868,0.0049384
313TT,0.0027564,0.0038302,0.0006936,0.0014819,0.0007822,0.0005486,0.0032512,0.0032525,1.2017312,0.1550924,0.0088879,0.0363442,0.0129227,0.0009505,0.0038774,0.0199528,0.0053024,0.001958,0.0016613,0.0048223,0.0008172,0.0022094,0.0125677,0.0069053,0.0551354,0.0180058,0.0018814,0.0010186,0.0017389,0.0116778,0.0008722,0.0009026,0.0075953,0.0011475,0.0012002,0.0007502,0.0024506,0.0012471,0.0034681,0.0011693,0.0014883,0.0010447,0.0011518,0.0004374,0.000668,0.0002377,0.0006708,0.0015411,0.0004406,0.0009148,0.0004007,0.0005676,0.0010921,0.0027579,0.0007874,0.0012963,0.0021275,0.0078672,0.006447,0.0004907,0.0038603,0.0075183,0.0013889,0.0033853,0.0025113,0.0026325,0.0021239,0.0015499,0.0018857,0.0002287,0.0009396
315AL,0.0002973,0.0001696,0.0001566,0.0002637,0.000197,0.0001536,0.0002694,0.0003703,0.009598,1.1294158,0.0004397,0.0006806,0.0223722,0.0001875,0.0002861,0.0004538,0.0003034,0.0005181,0.0003249,0.0005814,0.0001574,0.0003178,0.0064959,0.000336,0.000815,0.0012677,0.000889,0.0011307,0.0002948,0.002617,0.0001891,0.0002013,0.0003635,0.000356,0.0001593,0.0001698,0.0002811,0.0003484,0.0009122,0.0007507,0.0003402,0.0016748,0.0006845,0.000178,0.0002888,0.0001317,0.0002945,0.0008096,0.0002068,0.0003014,0.000142,0.0002634,0.0006836,0.0025625,0.0004851,0.0004738,0.0006337,0.0002615,0.0077134,0.0007328,0.0003253,0.000398,0.0003356,0.0014181,0.00094,0.0004673,0.0003775,0.0004452,0.0018,2.47e-05,0.0002366
